name,calories,protein_g,carbs_g,fat_g
"Grapes, green, seedless, raw",80.1025,0.89875,18.60375,0.2325
"Applesauce, unsweetened, with added vitamin C",51.6025,0.2734375,12.2615625,0.1625
"Flour, amaranth",384.076,13.2093,68.7787,6.236
"Flour, quinoa",385.19699999999995,11.92235,69.52465,6.601
"Flour, sorghum",374.92999999999995,8.27277,77.39123,3.586
"Flour, buckwheat",357.96799999999996,8.88492,75.01808,2.484
"Flour, rye",359.40000000000003,8.3952,77.1618,1.908
"Flour, barley",366.53000000000003,8.72168,77.39832,2.45
"Flour, cassava",357.369,0.918225,87.312975,0.4938
"Buckwheat, whole grain",356.13500000000005,11.06534,71.13066,3.039
"Millet, whole grain",375.618,10.02177,74.44623,4.194
"Rice, brown, long grain, unenriched, raw",365.51800000000003,7.25305,76.68795,3.306
"Rice, white, long grain, unenriched, raw",358.705,7.03885,80.31315,1.033
"Beef, ground, 90% lean meat / 10% fat, raw",188.27499999999998,18.15625,0.0,12.85
"Beef, ground, 80% lean meat / 20% fat, raw",245.085,17.53125,0.0,19.44
"Pork, ground, raw",228.635,17.80625,0.0,17.49
"Chicken, ground, with additives, raw",136.099,17.9125,0.0,7.161
"Turkey, ground, 93% lean/ 7% fat, raw",155.694,17.34375,0.0,9.591
"Nuts, brazilnuts, raw",663.586,15.03684,21.64216,57.43
"Nuts, cashew nuts, raw",564.664,17.4423,36.2887,38.86
"Nuts, hazelnuts or filberts, raw",641.3900000000001,13.4938,26.5012,53.49
"Peanuts, raw",588.332,23.205,26.498,43.28
"Flour, chestnut",384.67199999999997,5.28675,80.45025,4.636
"Nuts, macadamia nuts, raw",711.8900000000001,7.7857,24.0943,64.93
"Nuts, pistachio nuts, raw",597.98,20.5057,27.6943,45.02
"Seeds, pumpkin seeds (pepitas), raw",554.602,29.9079,18.6751,40.03
"Seeds, sunflower seed, kernel, raw",609.4559999999999,18.8733,24.5007,48.44
"Flour, coconut",437.68399999999997,16.1385,58.9025,15.28
"Beans, cannellini, dry",345.223,21.5625,59.7955,2.199
"Chickpeas, (garbanzo beans, bengal gram), dry",382.998,21.275,60.358,6.274
"Lentils, dry",360.285,23.56875,62.17125,1.925
"Blackeye pea, dry",354.01500000000004,21.225,61.836,2.419
"Beans, black, canned, sodium added, drained and rinsed",118.36099999999999,6.9125,19.8135,1.273
"Beans, navy, canned, sodium added, drained and rinsed",118.78999999999999,6.56875,19.98325,1.398
"Beans, cannellini, canned, sodium added, drained and rinsed",115.44500000000001,7.4125,18.8185,1.169
"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",137.22,7.01875,20.32025,3.096
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",126.62400000000001,7.8,21.03,1.256
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",126.703,7.30625,21.44675,1.299
"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",80.145,4.734375,12.707625,1.153
"Beans, pinto, canned, sodium added, drained and rinsed",116.57,6.69375,19.60025,1.266
"Blackeye pea, canned, sodium added, drained and rinsed",116.0276,6.925,19.1659,1.296
"Beans, great northern, canned, sodium added, drained and rinsed",116.834,7.03125,19.32875,1.266
"Pork, loin, boneless, raw",169.69599999999997,21.11875,0.0,9.469
"Pork, loin, tenderloin, boneless, raw",121.416,21.58125,0.0,3.899
"Chicken, breast, boneless, skinless, raw",107.506,22.525,0.0,1.934
"Chicken, thigh, boneless, skinless, raw",145.69400000000002,18.6125,0.0,7.916
"Beef, ribeye, steak, boneless, choice, raw",255.33499999999998,18.74375,0.0,20.04
"Beef, round, top round, boneless, choice, raw",140.63500000000002,21.475,0.852,5.703
"Beef, chuck, roast, boneless, choice, raw",233.8,18.4,0.0,17.8
"Beef, flank, steak, boneless, choice, raw",165.11599999999999,20.13125,0.0,9.399
"Yogurt, plain, nonfat",50.0015,4.22675,8.07675,0.0875
"Cheese, monterey jack, solid",391.73,22.6171,1.8979,32.63
"Cheese, pasteurized process cheese food or product, American, singles",309.76800000000003,15.5672,8.1898,23.86
"Cheese, provolone, sliced",356.794,23.45288,2.45312,28.13
"Cheese, oaxaca, solid",297.088,22.14498,2.40202,22.1
"Cheese, queso fresco, solid",297.608,18.8848,2.9572,23.36
"Cheese, cotija, solid",351.4,23.83568,2.72432,27.24
"Fish, salmon, sockeye, wild caught, raw",133.624,22.3,0.0,4.936
"Fish, salmon, Atlantic, farm raised, raw",199.265,20.31875,0.0,13.11
"Fish, tilapia, farm raised, raw",98.311,19.0,0.0,2.479
"Crustaceans, shrimp, farm raised, raw",71.4265,15.56875,0.48495,0.8013
"Fish, cod, Atlantic, wild caught, raw",70.2825,16.06875,0.0,0.6675
"Fish, catfish, farm raised, raw",131.647,16.46875,0.0,7.308
